item,intervention,baseline,ablated,delta
ops_12+15,path_block_Wwin_L5-11,4.194221496582031,1.1789674758911133,-3.015254020690918
ops_12+15,path_block_Wwin_L9-11,4.194221496582031,3.3477706909179688,-0.8464508056640625
ops_12+15,path_block_W_only_L9-11,4.194221496582031,3.344217300415039,-0.8500041961669922
ops_12+15,path_block_ops2_L5-11,4.194221496582031,3.248257637023926,-0.9459638595581055
ops_12+15,path_block_ops2_L9-11,4.194221496582031,4.056364059448242,-0.13785743713378906
ops_12+15,path_block_revision_L9-11,4.194221496582031,4.181914329528809,-0.012307167053222656
ops_12+15,path_block_randpos_L9-11,4.194221496582031,4.088895797729492,-0.10532569885253906
ops_12+15,path_block_Wwin_L9H9,4.194221496582031,3.7424182891845703,-0.45180320739746094
ops_12+15,path_block_Wwin_L11H0,4.194221496582031,4.189034461975098,-0.005187034606933594
ops_12+15,path_block_Wwin_L10H7,4.194221496582031,4.425772666931152,0.2315511703491211
ops_12+15,path_block_Wwin_L0,4.194221496582031,3.769195556640625,-0.42502593994140625
ops_12+15,path_block_Wwin_L1,4.194221496582031,4.209291458129883,0.015069961547851562
ops_12+15,path_block_Wwin_L2,4.194221496582031,4.232446670532227,0.03822517395019531
ops_12+15,path_block_Wwin_L3,4.194221496582031,4.054843902587891,-0.13937759399414062
ops_12+15,path_block_Wwin_L4,4.194221496582031,4.088705062866211,-0.10551643371582031
ops_12+15,path_block_Wwin_L5,4.194221496582031,3.608478546142578,-0.5857429504394531
ops_12+15,path_block_Wwin_L6,4.194221496582031,3.6757469177246094,-0.5184745788574219
ops_12+15,path_block_Wwin_L7,4.194221496582031,4.437990188598633,0.24376869201660156
ops_12+15,path_block_Wwin_L8,4.194221496582031,4.38308048248291,0.1888589859008789
ops_12+15,path_block_Wwin_L9,4.194221496582031,3.8238658905029297,-0.37035560607910156
ops_12+15,path_block_Wwin_L10,4.194221496582031,4.201749801635742,0.0075283050537109375
ops_12+15,path_block_Wwin_L11,4.194221496582031,4.339900970458984,0.14567947387695312
ops_8+7,path_block_Wwin_L5-11,2.4444122314453125,-0.22005939483642578,-2.6644716262817383
ops_8+7,path_block_Wwin_L9-11,2.4444122314453125,1.8231468200683594,-0.6212654113769531
ops_8+7,path_block_W_only_L9-11,2.4444122314453125,1.8595561981201172,-0.5848560333251953
ops_8+7,path_block_ops2_L5-11,2.4444122314453125,1.6052541732788086,-0.8391580581665039
ops_8+7,path_block_ops2_L9-11,2.4444122314453125,2.395803451538086,-0.04860877990722656
