item,with_cue,final_score,n_middle_tokens,sum_post_revision,sum_post_W,sum_post_W_window,sum_post_ops2,unit_mean_revision,layer_profile_revision,toward_C
ops_12+15,True,4.194223403930664,7,71.70899654179811,4.33196359872818,22.919449783861637,79.17521783709526,0.011585762111714021,"[12.17580584 -5.35350657  2.21587187  2.59230907 -5.43952268 -1.56846823
  0.85863218 -7.20022824 11.78850859  8.99069884 25.28693855 27.36195731]",False
ops_12+15,False,3.0030651092529297,7,-33.08831213414669,4.33196359872818,4.492634974420071,76.01544634997845,-0.012528325896710157,"[  3.65078247   3.52330227   5.45662333  -8.25139403  -5.870276
 -28.81245688  -9.66324666 -21.40219219  -0.67122859   6.52519935
  31.46054721  -9.03397241]",True
ops_8+7,True,2.4444217681884766,7,-57.33506719022989,6.95953132212162,-0.5067881941795349,29.512193515896797,-0.022955447952318492,"[-13.76130259  -1.81845118  -7.97315615  -5.77485293  -4.83256747
  -2.47221372  -2.69454289  -8.30062091  -3.01690863   0.29063541
  -8.62540309   1.64431697]",True
ops_8+7,False,1.3118247985839844,7,104.34208317101002,6.95953132212162,33.974115677177906,26.790854044258595,0.02287590993745696,"[12.22470546 -4.25395146 11.10591029  7.3277939   0.72921849  9.08479264
 -1.54323879 10.60909224  2.53126651 26.70797253 15.60806155 14.21045983]",False
ops_11+12,True,1.8689594268798828,7,-0.06180436164140701,-5.019535504281521,-8.574194066226482,50.127004370093346,-0.0001516180844711406,"[  4.21097811   0.31821039  -0.80326036   2.40181154  -7.24238615
   2.46567106   1.6594225   -6.03075661   3.09657483   4.93322216
   5.97070673 -11.04199857]",True
ops_11+12,False,0.6800727844238281,7,-24.85770072042942,-5.019535504281521,-8.463660262525082,48.38452176004648,-0.011481540915112765,"[ -9.09953147   0.33247429   0.46674193 -16.65724632   6.85279217
 -15.95481128   0.65602338  -9.31397697  -7.72725302   5.9900589
  30.05464512 -10.45761746]",True
ops_9+6,True,2.768474578857422,7,-50.78734738007188,8.049873545765877,5.409470036625862,29.519663900136948,-0.021182388042299344,"[-13.99649793  -1.74707909  -8.00435516  -5.69876777  -4.69349036
  -2.15016821  -2.44573011  -7.001102    -2.1497688    3.57448143
  -9.50053824   3.02566886]",True
ops_9+6,False,1.3139400482177734,7,112.4325642734766,8.049873545765877,39.72654588520527,23.98691174387932,0.02452659611922822,"[12.14843366 -4.02716857 11.47010146  8.19835329  0.53359419  9.79394922
 -1.66834986 11.28067607  2.65175647 29.97326636 15.1292024  16.9487496 ]",False
ops_13+14,True,1.2628097534179688,7,26.500283107161522,-0.17664143443107605,-2.0196032524108887,15.950776681303978,0.0035601742181045537,"[-6.40816429 -2.80482147 -0.29396919  3.51325759 -6.50182346  5.18251707
  0.06610537 -1.71488461  3.01557057  0.6659814   7.684093   24.09642114]",False
ops_13+14,False,0.34931182861328125,7,-29.58000321686268,-0.17664143443107605,3.3501219749450684,19.992340698838234,-0.0040156494027801925,"[ -1.59272158   5.74835423  11.20345248  -3.98867451   1.51805238
  -7.24543282   0.58162157 -11.87383348 -11.35257386   0.74482721
 -13.65432432   0.33124948]",True
ops_4+5,True,2.1139097213745117,7,49.70127256214619,2.798060804605484,22.584726937115192,37.043536230921745,0.009826291531984074,"[ 9.34363821  2.80112609 -1.08006746 -4.49077621  0.95862539 -2.82455257
  2.50810619  4.30529605  2.40401858  3.12302139 33.69001344 -1.03717655]",False
ops_4+5,False,0.2886314392089844,7,42.80016862601042,2.798060804605484,16.546606428921223,21.68149769306183,-0.0003784051334064099,"[-15.8387295    2.59693682  -5.84712774 -14.63011506   2.45235353
 -17.45464829 -10.20837128  22.83470422  15.48357546  24.17508245
  26.32145369  12.91505432]",False
ops_16+10,True,4.489049911499023,7,42.161856569349766,7.3882007002830505,20.35289954394102,32.40939638018608,-0.0025685106915521567,"[ 10.65645429   0.20215974   1.79297754  -4.54356235   0.0332236
 -12.25652128   2.91583225  -3.4989447   10.65898214  -5.54879525
  24.92510258  16.82494801]",False
ops_16+10,False,2.7036991119384766,7,-21.19880785048008,7.3882007002830505,-6.7615635469555855,11.765729025006294,-0.008556647780573084,"[ 32.31682932  -3.22567686  -6.15012026  -1.98716433 -10.38112369
  -7.24746679  -7.24709064  -6.18247829 -17.88484555  -3.52143371
  29.20101848 -18.88925552]",True
ops_3+8,True,2.520411491394043,7,59.93349040299654,-0.735161542892456,10.821557760238647,27.91951332986355,0.015567668654035688,"[10.40759191 -1.31924701  3.38980937  2.8941282   6.06894511 -2.11120097
  4.20056564  0.45605944 -7.00371656 22.25418431 21.70142618 -1.00505522]",False
ops_3+8,False,0.6925315856933594,7,-76.6097432076931,-0.735161542892456,-27.144539579749107,18.17829303443432,-0.013295477355963417,"[ 10.31763476   1.9266493    5.73576489  -9.86363658   6.2637302
 -22.07393163 -12.65338719 -18.59069377  -6.21079868 -17.01942515
  -0.86662829 -13.57502106]",True
