item,intervention,baseline,patched,delta,frac_of_baseline
ops_12+15,necessity_resid_Wwin_L5-11_Cswap,4.194221496582031,-2.885974884033203,-7.080196380615234,-1.6880835660169715
ops_12+15,necessity_resid_Wwin_L9-11_Cswap,4.194221496582031,3.487759590148926,-0.7064619064331055,-0.16843695713467152
ops_12+15,necessity_resid_W_only_L5-11_Cswap,4.194221496582031,-2.7606115341186523,-6.954833030700684,-1.6581940263212944
ops_12+15,sufficiency_resid_Wwin_L5-11_Wpatch,-3.5222387313842773,3.6153793334960938,7.137618064880371,-2.026443580124738
ops_12+15,ablate_writes_W_L5-11,4.194221496582031,3.9029722213745117,-0.29124927520751953,-0.06944060428016625
ops_12+15,ablate_writes_Wwin_L5-11,4.194221496582031,3.599453926086426,-0.5947675704956055,-0.14180642843500169
ops_12+15,ablate_writes_Wwin_L9-11,4.194221496582031,4.0902099609375,-0.10401153564453125,-0.024798770338975342
ops_12+15,ablate_writes_revision_L5-11,4.194221496582031,4.159136772155762,-0.03508472442626953,-0.008365014688628365
ops_12+15,ablate_writes_ops2_L5-11,4.194221496582031,3.255769729614258,-0.9384517669677734,-0.22374873805127832
ops_12+15,ablate_writes_randpos_L5-11,4.194221496582031,3.3077526092529297,-0.8864688873291016,-0.21135480995734385
ops_12+15,necessity_resid_Wwin_L0_Cswap,4.194221496582031,-3.5303544998168945,-7.724575996398926,-1.841718660469854
ops_12+15,necessity_resid_Wwin_L1_Cswap,4.194221496582031,-3.5253658294677734,-7.719587326049805,-1.8405292453774023
ops_12+15,necessity_resid_Wwin_L2_Cswap,4.194221496582031,-3.517148971557617,-7.711370468139648,-1.8385701552537994
ops_12+15,necessity_resid_Wwin_L3_Cswap,4.194221496582031,-3.5013246536254883,-7.6955461502075195,-1.8347972696431982
ops_12+15,necessity_resid_Wwin_L4_Cswap,4.194221496582031,-3.488870620727539,-7.68309211730957,-1.8318279384078073
ops_12+15,necessity_resid_Wwin_L5_Cswap,4.194221496582031,-2.885974884033203,-7.080196380615234,-1.6880835660169715
ops_12+15,necessity_resid_Wwin_L6_Cswap,4.194221496582031,-2.013378143310547,-6.207599639892578,-1.4800361986011696
ops_12+15,necessity_resid_Wwin_L7_Cswap,4.194221496582031,0.22330474853515625,-3.970916748046875,-0.9467589518776888
ops_12+15,necessity_resid_Wwin_L8_Cswap,4.194221496582031,0.7147903442382812,-3.47943115234375,-0.8295773494984038
ops_12+15,necessity_resid_Wwin_L9_Cswap,4.194221496582031,3.487759590148926,-0.7064619064331055,-0.16843695713467152
ops_12+15,necessity_resid_Wwin_L10_Cswap,4.194221496582031,4.062878608703613,-0.13134288787841797,-0.03131520068395347
ops_12+15,necessity_resid_Wwin_L11_Cswap,4.194221496582031,4.194221496582031,0.0,0.0
ops_8+7,necessity_resid_Wwin_L5-11_Cswap,2.4444122314453125,-2.3284053802490234,-4.772817611694336,-1.9525420263800195
ops_8+7,necessity_resid_Wwin_L9-11_Cswap,2.4444122314453125,2.092130661010742,-0.3522815704345703,-0.1441170870865247
ops_8+7,necessity_resid_W_only_L5-11_Cswap,2.4444122314453125,-2.1950111389160156,-4.639423370361328,-1.8979709357853143
ops_8+7,sufficiency_resid_Wwin_L5-11_Wpatch,-2.686187744140625,1.9236822128295898,4.609869956970215,-1.7161384073118915
ops_8+7,ablate_writes_W_L5-11,2.4444122314453125,2.2427597045898438,-0.20165252685546875,-0.0824953026586016
ops_8+7,ablate_writes_Wwin_L5-11,2.4444122314453125,2.0361528396606445,-0.40825939178466797,-0.16701740669300924
ops_8+7,ablate_writes_Wwin_L9-11,2.4444122314453125,2.2887468338012695,-0.15566539764404297,-0.06368213824228919
ops_8+7,ablate_writes_revision_L5-11,2.4444122314453125,2.4878273010253906,0.043415069580078125,0.017760944337284718
ops_8+7,ablate_writes_ops2_L5-11,2.4444122314453125,1.3867359161376953,-1.0576763153076172,-0.4326914673807874
ops_8+7,ablate_writes_randpos_L5-11,2.4444122314453125,1.432821273803711,-1.0115909576416016,-0.41383811806712983
ops_8+7,necessity_resid_Wwin_L0_Cswap,2.4444122314453125,-2.7189388275146484,-5.163351058959961,-2.1123078147530854
ops_8+7,necessity_resid_Wwin_L1_Cswap,2.4444122314453125,-2.7364749908447266,-5.180887222290039,-2.1194817942907793
ops_8+7,necessity_resid_Wwin_L2_Cswap,2.4444122314453125,-2.7366905212402344,-5.181102752685547,-2.1195699669781582
ops_8+7,necessity_resid_Wwin_L3_Cswap,2.4444122314453125,-2.7413253784179688,-5.185737609863281,-2.121466069901434
ops_8+7,necessity_resid_Wwin_L4_Cswap,2.4444122314453125,-2.744029998779297,-5.188442230224609,-2.122572520084646
ops_8+7,necessity_resid_Wwin_L5_Cswap,2.4444122314453125,-2.3284053802490234,-4.772817611694336,-1.9525420263800195
ops_8+7,necessity_resid_Wwin_L6_Cswap,2.4444122314453125,-1.6987056732177734,-4.143117904663086,-1.6949342060088517
ops_8+7,necessity_resid_Wwin_L7_Cswap,2.4444122314453125,-0.10574150085449219,-2.5501537322998047,-1.0432584567750958
ops_8+7,necessity_resid_Wwin_L8_Cswap,2.4444122314453125,0.2734260559082031,-2.1709861755371094,-0.8881424121550341
ops_8+7,necessity_resid_Wwin_L9_Cswap,2.4444122314453125,2.092130661010742,-0.3522815704345703,-0.1441170870865247
ops_8+7,necessity_resid_Wwin_L10_Cswap,2.4444122314453125,2.437495231628418,-0.006916999816894531,-0.0028297190334400767
ops_8+7,necessity_resid_Wwin_L11_Cswap,2.4444122314453125,2.4444122314453125,0.0,0.0
ops_11+12,necessity_resid_Wwin_L5-11_Cswap,1.8689661026000977,-2.2351207733154297,-4.104086875915527,-2.1959129543365923
ops_11+12,necessity_resid_Wwin_L9-11_Cswap,1.8689661026000977,1.77471923828125,-0.09424686431884766,-0.05042727323290231
ops_11+12,necessity_resid_W_only_L5-11_Cswap,1.8689661026000977,-2.2091121673583984,-4.078078269958496,-2.181996914917339
ops_11+12,sufficiency_resid_Wwin_L5-11_Wpatch,-2.582688331604004,1.5579414367675781,4.140629768371582,-1.6032247165495201
ops_11+12,ablate_writes_W_L5-11,1.8689661026000977,1.353825569152832,-0.5151405334472656,-0.2756286123812542
ops_11+12,ablate_writes_Wwin_L5-11,1.8689661026000977,1.5363407135009766,-0.3326253890991211,-0.17797293842642414
ops_11+12,ablate_writes_Wwin_L9-11,1.8689661026000977,1.6819000244140625,-0.18706607818603516,-0.10009067469216784
ops_11+12,ablate_writes_revision_L5-11,1.8689661026000977,1.9063777923583984,0.03741168975830078,0.020017318509016186
ops_11+12,ablate_writes_ops2_L5-11,1.8689661026000977,1.002187728881836,-0.8667783737182617,-0.46377426134824135
ops_11+12,ablate_writes_randpos_L5-11,1.8689661026000977,1.040475845336914,-0.8284902572631836,-0.44328800619261716
ops_11+12,necessity_resid_Wwin_L0_Cswap,1.8689661026000977,-2.601350784301758,-4.4703168869018555,-2.391866219875668
ops_11+12,necessity_resid_Wwin_L1_Cswap,1.8689661026000977,-2.5958118438720703,-4.464777946472168,-2.3889025810905764
ops_11+12,necessity_resid_Wwin_L2_Cswap,1.8689661026000977,-2.5962610244750977,-4.465227127075195,-2.3891429175003176
ops_11+12,necessity_resid_Wwin_L3_Cswap,1.8689661026000977,-2.5955467224121094,-4.464512825012207,-2.3887607264793065
ops_11+12,necessity_resid_Wwin_L4_Cswap,1.8689661026000977,-2.5778026580810547,-4.446768760681152,-2.379266672891941
ops_11+12,necessity_resid_Wwin_L5_Cswap,1.8689661026000977,-2.2351207733154297,-4.104086875915527,-2.1959129543365923
ops_11+12,necessity_resid_Wwin_L6_Cswap,1.8689661026000977,-1.8548126220703125,-3.72377872467041,-1.9924271068854085
ops_11+12,necessity_resid_Wwin_L7_Cswap,1.8689661026000977,-0.5360584259033203,-2.405024528503418,-1.2868208391567713
ops_11+12,necessity_resid_Wwin_L8_Cswap,1.8689661026000977,-0.2624683380126953,-2.131434440612793,-1.140435044620419
ops_11+12,necessity_resid_Wwin_L9_Cswap,1.8689661026000977,1.77471923828125,-0.09424686431884766,-0.05042727323290231
ops_11+12,necessity_resid_Wwin_L10_Cswap,1.8689661026000977,1.7915172576904297,-0.07744884490966797,-0.04143940588431297
ops_11+12,necessity_resid_Wwin_L11_Cswap,1.8689661026000977,1.8689661026000977,0.0,0.0
ops_9+6,necessity_resid_Wwin_L5-11_Cswap,2.7684707641601562,-2.3477487564086914,-5.116219520568848,-1.8480309009587481
ops_9+6,necessity_resid_Wwin_L9-11_Cswap,2.7684707641601562,2.3433046340942383,-0.42516613006591797,-0.1535743615464534
ops_9+6,necessity_resid_W_only_L5-11_Cswap,2.7684707641601562,-2.2073326110839844,-4.975803375244141,-1.7973111508560942
ops_9+6,sufficiency_resid_Wwin_L5-11_Wpatch,-2.744868278503418,2.234206199645996,4.979074478149414,-1.8139575283605778
ops_9+6,ablate_writes_W_L5-11,2.7684707641601562,2.8049144744873047,0.03644371032714844,0.013163841496518027
ops_9+6,ablate_writes_Wwin_L5-11,2.7684707641601562,2.6097450256347656,-0.15872573852539062,-0.05733336272869823
ops_9+6,ablate_writes_Wwin_L9-11,2.7684707641601562,2.6222333908081055,-0.14623737335205078,-0.05282243729830876
ops_9+6,ablate_writes_revision_L5-11,2.7684707641601562,2.791759490966797,0.023288726806640625,0.008412126690348307
ops_9+6,ablate_writes_ops2_L5-11,2.7684707641601562,1.795741081237793,-0.9727296829223633,-0.3513599260339131
ops_9+6,ablate_writes_randpos_L5-11,2.7684707641601562,1.8375272750854492,-0.930943489074707,-0.33626632476182866
ops_9+6,necessity_resid_Wwin_L0_Cswap,2.7684707641601562,-2.7646121978759766,-5.533082962036133,-1.9986062463313208
ops_9+6,necessity_resid_Wwin_L1_Cswap,2.7684707641601562,-2.7949705123901367,-5.563441276550293,-2.0095719805218963
ops_9+6,necessity_resid_Wwin_L2_Cswap,2.7684707641601562,-2.793741226196289,-5.562211990356445,-2.0091279497559724
ops_9+6,necessity_resid_Wwin_L3_Cswap,2.7684707641601562,-2.7974319458007812,-5.5659027099609375,-2.010461075484541
ops_9+6,necessity_resid_Wwin_L4_Cswap,2.7684707641601562,-2.791079521179199,-5.5595502853393555,-2.0081665146375136
ops_9+6,necessity_resid_Wwin_L5_Cswap,2.7684707641601562,-2.3477487564086914,-5.116219520568848,-1.8480309009587481
ops_9+6,necessity_resid_Wwin_L6_Cswap,2.7684707641601562,-1.6073379516601562,-4.3758087158203125,-1.58058693357658
ops_9+6,necessity_resid_Wwin_L7_Cswap,2.7684707641601562,0.07800674438476562,-2.6904640197753906,-0.9718231648335901
